version,view 
Rhapsody Developer Release,Just a beginning
Mac OS X Developer Preview,Sucks
Mac OS X Public Beta,Not great
Mac OS X 10.0,Getting there
Mac OS X 10.1,Manageable OS
Mac OS X 10.2,Awesome
Mac OS X 10.3,Good
Mac OS X 10.4,alright
Mac OS X 10.5,not impressed
Mac OS X 10.6,Good OS
Mac OS X 10.7,Not great
OS X 10.8,Good
OS X 10.9,Not great
OS X 10.10,Great
OS X 10.11,Great
macOS 10.12,OK
macOS 10.13,Not high as we thought
macOS 10.14,Great
macOS 10.15,Great
macOS 11,"Buggy, needs rework"
macOS 12,Do not know
